theta1,omega1,theta2,omega2,next_theta1,next_omega1,next_theta2,next_omega2,rollout
-1.493675791944496,2.699435840100005,-6.4458372683215925,-6.971639230068914,-1.4333525556069657,3.083792185657563,-6.59380937134023,-7.222859247642575,3
-1.4333525556069657,3.083792185657563,-6.59380937134023,-7.222859247642575,-1.3649334330933276,3.476326235790041,-6.74780249196981,-7.54808262751569,3
-1.3649334330933276,3.476326235790041,-6.74780249196981,-7.54808262751569,-1.2884866231119982,3.862793352785329,-6.908752317534261,-7.911563764839896,3
-1.2884866231119982,3.862793352785329,-6.908752317534261,-7.911563764839896,-1.2042667750877576,4.2199401953213345,-7.077123833384688,-8.254818690370572,3
-1.2042667750877576,4.2199401953213345,-7.077123833384688,-8.254818690370572,-1.1131101487830546,4.4998968333573925,-7.251963923747457,-8.462890809100143,3
-1.1131101487830546,4.4998968333573925,-7.251963923747457,-8.462890809100143,-1.0172594005625804,4.679572805379226,-7.42878165882212,-8.465300370156372,3
-1.0172594005625804,4.679572805379226,-7.42878165882212,-8.465300370156372,-0.9188699102704906,4.762468348623893,-7.602943697719714,-8.250570574738793,3
-0.9188699102704906,4.762468348623893,-7.602943697719714,-8.250570574738793,-0.819660116583678,4.763795860113376,-7.770494825038786,-7.837659184506936,3
-0.819660116583678,4.763795860113376,-7.770494825038786,-7.837659184506936,-0.7209115170117715,4.7104798966545856,-7.928157950865395,-7.275958521580321,3
-0.7209115170117715,4.7104798966545856,-7.928157950865395,-7.275958521580321,-0.6234649089703261,4.641098642672148,-8.07335500160473,-6.644991614013981,3
-0.6234649089703261,4.641098642672148,-8.07335500160473,-6.644991614013981,-0.5273902483193692,4.590956904093957,-8.205267028913573,-6.013550357462162,3
-0.5273902483193692,4.590956904093957,-8.205267028913573,-6.013550357462162,-0.4320577879189811,4.566484294165951,-8.324091230817773,-5.390984641075765,3
-0.4320577879189811,4.566484294165951,-8.324091230817773,-5.390984641075765,-0.3369024206839048,4.567175161950846,-8.430007155213941,-4.781925657093972,3
-0.3369024206839048,4.567175161950846,-8.430007155213941,-4.781925657093972,-0.24147657622234725,4.5897168771658565,-8.52338790873302,-4.1931735305036995,3
-0.24147657622234725,4.5897168771658565,-8.52338790873302,-4.1931735305036995,-0.1454502208359787,4.62798983018269,-8.60480015674029,-3.633697319039586,3
-0.1454502208359787,4.62798983018269,-8.60480015674029,-3.633697319039586,-0.04861085751993288,4.673067432027551,-8.675004123335352,-3.1146350131840044,3
-0.04861085751993288,4.673067432027551,-8.675004123335352,-3.1146350131840044,0.04913614603868931,4.713222912678008,-8.734953732662772,-2.6492961946497924,3
0.04913614603868931,4.713222912678008,-8.734953732662772,-2.6492961946497924,0.14761465603252158,4.7374522841204865,-8.785893165488334,-2.2540137255206067,3
0.14761465603252158,4.7374522841204865,-8.785893165488334,-2.2540137255206067,0.24636621081383756,4.7381781861434815,-8.829469651180885,-1.944793829899485,3
0.24636621081383756,4.7381781861434815,-8.829469651180885,-1.944793829899485,0.34483251386512825,4.709305015042659,-8.867602035578967,-1.7326545484575138,4
0.34483251386512825,4.709305015042659,-8.867602035578967,-1.7326545484575138,0.4423591900814919,4.647696779881194,-8.90237124159696,-1.622159056801813,4
0.4423591900814919,4.647696779881194,-8.90237124159696,-1.622159056801813,0.5382207444722462,4.552636502029888,-8.935968199011443,-1.6129611061282587,4
0.5382207444722462,4.552636502029888,-8.935968199011443,-1.6129611061282587,0.6317322120057038,4.427346340826778,-8.970416590283186,-1.694421070634899,4
0.6317322120057038,4.427346340826778,-8.970416590283186,-1.694421070634899,0.7223771451572446,4.27775709551814,-9.007278509910346,-1.8477494558582834,4
0.7223771451572446,4.27775709551814,-9.007278509910346,-1.8477494558582834,0.809738367404967,4.109613314637123,-9.047825863092436,-2.0554229988713772,4
0.809738367404967,4.109613314637123,-9.047825863092436,-2.0554229988713772,0.8934970924816092,3.9284493850026108,-9.093042477667462,-2.30126687758122,4
0.8934970924816092,3.9284493850026108,-9.093042477667462,-2.30126687758122,0.973432924374549,3.7395895317192185,-9.143624104111924,-2.570454710728928,4
